,listing_name,price,depreciation,reg_date,eng_cap,mileage,veh_type,brand,model
135,Mercedes-Benz CLA-Class CLA200 AMG Line Premium Plus,195800.0,19880.0,2021-04-01,1332.0,16000.0,Luxury,Mercedes-Benz,CLA-Class CLA200 AMG Line Premium Plus
136,Porsche Taycan Electric,688988.0,57180.0,2022-06-30,,88.0,Sports,Porsche,Taycan Electric
137,Honda Odyssey 2.4A EXV-S Navi Res Sunroof,145800.0,18450.0,2019-07-11,2356.0,63100.0,MPV,Honda,Odyssey 2.4A EXV-S Navi Res Sunroof
138,Honda Jazz 1.3A L (COE till 09/2030),74800.0,9260.0,2010-11-01,1339.0,110000.0,Hatchback,Honda,Jazz 1.3A L (COE till 09/2030)
139,Honda Fit 1.3A G (COE till 06/2024),20800.0,11430.0,2009-06-30,1339.0,,Hatchback,Honda,Fit 1.3A G (COE till 06/2024)
140,BMW 3 Series 318i Highline,222888.0,21030.0,2022-01-28,1998.0,4978.0,Luxury,BMW,3 Series 318i Highline
141,BMW 3 Series 316i,59888.0,18400.0,2015-05-29,1598.0,145961.0,Luxury,BMW,3 Series 316i
142,Honda HR-V 1.5A DX,99800.0,12950.0,2019-08-02,1496.0,69000.0,SUV,Honda,HR-V 1.5A DX
143,Honda Fit 1.3A GF,113800.0,11350.0,2022-06-24,1317.0,88.0,Hatchback,Honda,Fit 1.3A GF
144,BMW 5 Series 523i (COE till 09/2030),98888.0,12250.0,2010-09-29,2497.0,158000.0,Luxury,BMW,5 Series 523i (COE till 09/2030)
145,Audi A6 2.0A TFSI MU (COE till 04/2031),97888.0,11310.0,2011-04-29,1984.0,137686.0,Luxury,Audi,A6 2.0A TFSI MU (COE till 04/2031)
146,Mercedes-Benz CLA-Class CLA180,86888.0,19000.0,2016-07-25,1595.0,120000.0,Luxury,Mercedes-Benz,CLA-Class CLA180
147,Mercedes-Benz E-Class E200K Avantgarde (COE till 06/2026),40800.0,10680.0,2006-12-29,1796.0,,Luxury,Mercedes-Benz,E-Class E200K Avantgarde (COE till 06/2026)
148,Honda Fit 1.3A G (COE till 03/2024),16800.0,10680.0,2009-04-11,1339.0,153000.0,Hatchback,Honda,Fit 1.3A G (COE till 03/2024)
149,Mercedes-Benz 200E (COE till 10/2029),93000.0,12990.0,1981-06-18,1997.0,,Luxury,Mercedes-Benz,200E (COE till 10/2029)
150,Mercedes-Benz GLA-Class GLA180 Urban Edition,142800.0,17270.0,2020-02-13,1595.0,33000.0,SUV,Mercedes-Benz,GLA-Class GLA180 Urban Edition
151,Nissan NV350 2.5M,51800.0,10310.0,2017-09-13,2488.0,121885.0,Van,Nissan,NV350 2.5M
152,Hyundai Accent 1.4A,77850.0,11770.0,2018-12-05,1368.0,50785.0,Sedan,Hyundai,Accent 1.4A
153,Audi A3 Sportback 1.8A TFSI (COE till 06/2031),99888.0,11320.0,2011-07-07,1798.0,114644.0,Hatchback,Audi,A3 Sportback 1.8A TFSI (COE till 06/2031)
154,Nissan Latio 1.5A Sports (COE till 11/2028),58888.0,9470.0,2008-11-21,1498.0,41669.0,Hatchback,Nissan,Latio 1.5A Sports (COE till 11/2028)
155,Jaguar XE 2.0A Prestige,114800.0,15800.0,2018-07-24,1998.0,76651.0,Luxury,Jaguar,XE 2.0A Prestige
156,Mercedes-Benz A-Class A200 AMG Line,151800.0,18120.0,2019-12-31,1333.0,43538.0,Hatchback,Mercedes-Benz,A-Class A200 AMG Line
157,BMW 3 Series 320i Convertible (COE till 03/2031),93888.0,11000.0,2011-03-18,1995.0,125000.0,Sports,BMW,3 Series 320i Convertible (COE till 03/2031)
158,Honda Civic Type R 2.0M Turbo,174800.0,25790.0,2018-06-28,1996.0,60000.0,Sports,Honda,Civic Type R 2.0M Turbo
159,Honda Shuttle Hybrid 1.5A,86800.0,13630.0,2018-07-24,1496.0,40000.0,Stationwagon,Honda,Shuttle Hybrid 1.5A
160,Volkswagen Scirocco GP 1.4A TSI,66800.0,14990.0,2016-06-27,1390.0,,Sports,Volkswagen,Scirocco GP 1.4A TSI
161,Subaru Forester 2.0i-L Sunroof,71800.0,14600.0,2017-01-20,1995.0,101000.0,SUV,Subaru,Forester 2.0i-L Sunroof
162,Audi A4 2.0A TFSI S-tronic,150888.0,17380.0,2020-03-24,1984.0,42000.0,Luxury,Audi,A4 2.0A TFSI S-tronic
163,Jaguar XE Diesel 2.0A Prestige,78787.0,16670.0,2016-03-22,1999.0,123123.0,Luxury,Jaguar,XE Diesel 2.0A Prestige
164,Rolls-Royce Ghost EWB,680000.0,853420.0,2013-04-01,6592.0,16500.0,Luxury,Rolls-Royce,Ghost EWB
165,Toyota Hiace Commuter 2.8A GL High Roof,98800.0,10060.0,2022-06-27,2754.0,,Bus,Toyota,Hiace Commuter 2.8A GL High Roof
166,Honda Vezel 1.5A X Honda Sensing,92800.0,12870.0,2019-04-18,1496.0,76100.0,SUV,Honda,Vezel 1.5A X Honda Sensing
167,Audi Q4 E-tron Electric 40 Edition 1,268988.0,,,,100.0,SUV,Audi,Q4 E-tron Electric 40 Edition 1
168,BMW X5 xDrive35i 7-Seater,133500.0,27480.0,2015-12-16,2979.0,85000.0,SUV,BMW,X5 xDrive35i 7-Seater
169,Audi A4 2.0A TFSI S-tronic,147800.0,17910.0,2019-10-31,1984.0,,Luxury,Audi,A4 2.0A TFSI S-tronic
170,Volkswagen Scirocco GP 1.4A TSI Sunroof,79888.0,15330.0,2017-02-27,1390.0,76000.0,Sports,Volkswagen,Scirocco GP 1.4A TSI Sunroof
171,Mercedes-Benz B-Class B200,19888.0,,2012-09-25,1595.0,120000.0,Hatchback,Mercedes-Benz,B-Class B200
172,SEAT Leon 1.2A TSI Style Plus,75888.0,13780.0,2017-09-28,1197.0,94120.0,Hatchback,SEAT,Leon 1.2A TSI Style Plus
173,Audi Q7 3.6A FSI Quattro S-Line (COE till 01/2030),105600.0,14300.0,2010-01-22,3597.0,148000.0,SUV,Audi,Q7 3.6A FSI Quattro S-Line (COE till 01/2030)
174,Lexus IS Turbo IS200t Executive,113800.0,18980.0,2017-06-19,1998.0,58000.0,Luxury,Lexus,IS Turbo IS200t Executive
175,Mercedes Benz C-Class C180 Coupe (New 10-yr COE),103800.0,10370.0,2012-10-19,1595.0,,Sports,Mercedes,Benz C-Class C180 Coupe (New 10-yr COE)
176,Mercedes-Benz 350SL,85000.0,,,3499.0,,Sports,Mercedes-Benz,350SL
177,Mercedes-Benz GLB-Class GLB200 AMG Line,197888.0,20680.0,2021-04-09,1332.0,16200.0,SUV,Mercedes-Benz,GLB-Class GLB200 AMG Line
178,Lexus IS250 (COE till 01/2030),75888.0,10250.0,2010-01-29,2500.0,140000.0,Luxury,Lexus,IS250 (COE till 01/2030)
179,Mercedes-Benz E-Class E200 CGI Coupe (COE till 05/2031),106800.0,12220.0,2011-06-15,1796.0,132000.0,Sports,Mercedes-Benz,E-Class E200 CGI Coupe (COE till 05/2031)
