,listing_name,price,depreciation,reg_date,eng_cap,mileage,veh_type
181,Volvo V40 T4 Momentum,"$110,800","$14,140 /yr",30-Aug-2019,"1,969 cc","21,000 km",Hatchback
182,Honda Civic 1.6A VTi,"$105,800","$14,030 /yr",01-Jul-2019,"1,597 cc","51,800 km",Sedan
183,BMW 3 Series 316i,"$42,888","$18,860 /yr",21-Feb-2014,"1,598 cc","66,000 km",Luxury
184,Mercedes-Benz A-Class Saloon A200 AMG Line Premium,"$161,800","$19,120 /yr",31-Jan-2020,"1,332 cc","35,209 km",Luxury
185,Land Rover Defender 90 Puma (COE till 04/2029),"$116,000","$17,420 /yr",28-Jul-2009,"2,402 cc",-,Truck
186,MINI Cooper S 2.0A,"$73,800","$21,000 /yr",05-Aug-2015,"1,998 cc","82,800 km",Sports
187,Nissan NV200 1.6A,"$86,800","$9,000 /yr",25-Apr-2022,"1,597 cc",-,Van
188,Toyota 86 2.0A High Grade (New 10-yr COE),"$161,800","$16,170 /yr",05-Feb-2013,"1,998 cc","105,000 km",Sports
189,BMW X6 xDrive35i M-Sport Sunroof,"$212,888","$31,480 /yr",28-Sep-2017,"2,979 cc","39,776 km",SUV
190,Citroen Berlingo 1.6A BlueHDi,"$45,800","$7,830 /yr",11-Jul-2018,"1,560 cc",-,Van
191,Mercedes-Benz Citan 109 CDI Van Extra-Long 2 Seaters,"$35,800","$10,310 /yr",23-Feb-2016,"1,461 cc","98,000 km",Van
192,BMW M Series M3 Sedan Competition Package (COE till 09/2031),"$232,800","$25,660 /yr",29-Sep-2011,"3,999 cc","110,000 km",Sports
193,BMW 5 Series 523i (COE till 09/2030),"$99,800","$12,360 /yr",18-Jan-2011,"2,497 cc","102,578 km",Luxury
194,Mercedes-Benz C-Class C180 Avantgarde,"$90,888","$19,680 /yr",13-May-2016,"1,595 cc","130,329 km",Luxury
195,Audi A4 1.8A TFSI MU,"$40,888","$20,690 /yr",31-Dec-2013,"1,798 cc","111,720 km",Luxury
196,Mercedes-Benz E-Class E300 AMG Line,"$226,888","$26,550 /yr",15-Jul-2019,"1,991 cc","36,555 km",Luxury
197,Audi RS 6 Avant 4.0A TFSI Quattro Carbon Black Edition,"$650,000",N.A,N.A.,"3,996 cc",-,Stationwagon
198,Porsche Cayenne 3.6A Tip (COE till 10/2031),"$162,888","$17,780 /yr",19-Jan-2012,"3,598 cc",-,SUV
199,BMW 3 Series 320i Luxury,"$38,000",N.A,21-Sep-2012,"1,997 cc","160,000 km",Luxury
200,Mercedes-Benz E-Class E220d Sport,"$229,800","$23,480 /yr",30-Mar-2021,"1,950 cc","8,988 km",Sedan
201,Mercedes-Benz A-Class A200 Progressive,"$132,800","$17,360 /yr",17-Apr-2019,"1,332 cc","79,000 km",Hatchback
202,Nissan GTR 3.8A (COE till 12/2028),"$288,888","$45,910 /yr",19-Dec-2008,"3,799 cc","140,000 km",Sports
203,Volkswagen Transporter T6 2.0A,"$122,800","$12,980 /yr",17-Feb-2022,"1,968 cc",-,Van
204,Nissan Sylphy 1.5A (COE till 08/2030),"$69,800","$8,730 /yr",31-Aug-2010,"1,498 cc","90,000 km",Sedan
205,Infiniti Q50 2.0A T,"$72,300","$14,830 /yr",26-May-2016,"1,991 cc","92,000 km",Luxury
206,Volkswagen Polo GP 1.2A TSI Sunroof,"$60,000","$11,090 /yr",29-Sep-2017,"1,197 cc","78,000 km",Hatchback
207,Mercedes-Benz E-Class E300 Coupe Mild Hybrid AMG Line Premium Plus Night Edition,"$351,988","$32,170 /yr",17-Feb-2022,"1,991 cc",50 km,Sports
